"teamfull","city","state","league","teamonly","cityonly","teamns","cityns","teamonly2","cityonly2"
"Chicago Fire FC","Chicago","Illinois","MLS","Fire","Chicago","Fire","Chicago","Fire","Chicago"
"Colorado Rapids","Commerce City","Colorado","MLS","Rapids","Colorado","Rapids","Colorado","Rapids","Colorado"
"Columbus Crew SC","Columbus","Ohio","MLS","Crew","Columbus","Crew","Columbus","Crew","Columbus"
"DC United","Washington","District of Columbia","MLS","DC United","DC","DCUnited","DC","DC United","DC"
"FC Cincinnati","Cincinnati","Ohio","MLS","Cincinnati FC","Cincinnati","CincinnatiFC","Cincinnati","Cincinnati FC","Cincinnati"
"FC Dallas","Frisco","Texas","MLS","Dallas FC","Dallas","DallasFC","Dallas","Dallas FC","Dallas"
"Houston Dynamo FC","Houston","Texas","MLS","Dynamo","Houston","Dynamo","Houston","Dynamo","Houston"
"Inter Miami CF","Fort Lauderdale","Florida","MLS","Inter Miami","Miami","InterMiami","Miami","Inter Miami","Miami"
"LA Galaxy","Carson","California","MLS","Galaxy","LA","Galaxy","LA","Galaxy","LA"
"Los Angeles FC","Los Angeles","California","MLS","LA FC","Los Angeles","LAFC","LosAngeles","LA FC","Los Angeles"
"Minnesota United FC","St. Paul","Minnesota","MLS","Minnesota United","Minnesota","MinnesotaUnited","Minnesota","Minnesota United","Minnesota"
"Nashville SC","Nashville","Tennessee","MLS","Nashville SC","Nashville","NashvilleSC","Nashville","Nashville SC","Nashville"
"New England Revolution","Foxborough","Massachusetts","MLS","Revolution","New England","Revolution","NewEngland","Revolution","New England"
"New York City FC","New York City","New York","MLS","NYC FC","New York City","NYCFC","NewYorkCity","NYC FC","New York City"
"New York Red Bulls","Harrison","New Jersey","MLS","Red Bulls","New York","RedBulls","NewYork","Red Bulls","New York"
"Orlando City SC","Orlando","Florida","MLS","Orlando City SC","Orlando City","OrlandoCitySC","OrlandoCity","Orlando City SC","Orlando City"
"Philadelphia Union","Chester","Pennsylvania","MLS","Union","Philadelphia","Union","Philadelphia","Union","Philadelphia"
"Portland Timbers","Portland","Oregon","MLS","Timbers","Portland","Timbers","Portland","Timbers","Portland"
"Real Salt Lake","Sandy","Utah","MLS","Real Salt Lake","Salt Lake","RealSaltLake","SaltLake","Real Salt Lake","Salt Lake"
"Sacramento Republic FC","Sacramento","California","MLS","Republic FC","Sacramento","RepublicFC","Sacramento","Republic FC","Sacramento"
"St. Louis City SC","St. Louis","Missouri","MLS","St Louis City FC","St. Louis City","StLouisCityFC","StLouisCity","St Louis City FC","St Louis City"
"San Jose Earthquakes","San Jose","California","MLS","Earthquakes","San Jose","Earthquakes","SanJose","Earthquakes","San Jose"
"Seattle Sounders FC","Seattle","Washington","MLS","Sounders","Seattle","Sounders","Seattle","Sounders","Seattle"
"Sporting Kansas City","Kansas City","Kansas","MLS","Sporting KC","Kansas City","SportingKC","KansasCity","Sporting KC","Kansas City"
"Toronto FC","Toronto","Ontario","MLS","Toronto FC","Toronto","TorontoFC","Toronto","Toronto FC","Toronto"
"Vancouver Whitecaps FC","Vancouver","British Columbia","MLS","Whitecaps","Vancouver","Whitecaps","Vancouver","Whitecaps","Vancouver"
"Atlanta Hawks","Atlanta","Georgia","NBA","Hawks","Atlanta","Hawks","Atlanta","Hawks","Atlanta"
"Boston Celtics","Boston","Massachusetts","NBA","Celtics","Boston","Celtics","Boston","Celtics","Boston"
"Brooklyn Nets","New York City","New York","NBA","Nets","Brooklyn","Nets","Brooklyn","Nets","Brooklyn"
